TraceView Name:,Technical Requirements,,,,,,
,,,,,,,
Source,,,,1 Level Downstream,,,
Item Type,ID,Name,Description,Item Type,ID,Name,Description
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1555,Test Edit button,"This test case is to test that no error occurs when all default buttons are click 


  


  Setup and Configuration:  


 Assumed that these Setup Configuration steps are done on previous test case. Now you just need to continue


 1. GrowthDirect with Hardware Simulator


 2. Install GrowthDirect application and Install Bridge service on the bridge


 3. Connect Bridge to GrowthDirect System


 4. Launch GrowthDirect 


 5. Do not do anything else,see the screenshot below"
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1556,Test Delete button and Edit buttons ,"This test case is to test that no error occurs when a user clicks Delete button to delete nothing in this case then clicks Edit button. 


  


  Setup and Configuration:  


 Assumed that these Setup Configuration steps are done on previous test case. Now you just need to continue


 1. GrowthDirect with Hardware Simulator


 2. Install GrowthDirect application and Install Bridge service on the bridge


 3. Connect Bridge to GrowthDirect System


 4. Launch GrowthDirect 


 4. Do not do anything else,see the screenshot below"
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1557,Test Barcode Printer default page,"This test case is to test that no error occurs 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1558,Test Printer Setting page appearance after fresh installation,"This test case is to test that Default Printer Settings appearance


  


 1. GrowthDirect with Hardware Simulator


 2. Install GrowthDirect application and Install Bridge service on the bridge


 3. Connect Bridge to GrowthDirect System


 4. Launch GrowthDirect 


 5. Do not do anything else,


 6. The screenshot below is Printers setting screen


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1561,Test USB Barcode printer adding page with empty devices,"This test case is to test that USB Barcode printer adding page when it is no device. 


  


 Setup and Configuration steps: 


 On Bridge: 


 1. Go to Control Panel, click Devices and Printers


 2. No USB barcode printer is configured    


  


 The following is USB button default page


  


  


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1562,Test Network button in Barcode Printer page,"This test case is to test that no error occurs 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1563,Test Default Setting page in Document Printer page,"This test case is to test that no error occurs 


  


 Setup and Configuration Steps: 


 The following is document printer default page


  


  


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1564,Test Login in Printer Settings page with a valid password,"This test is to test Security of Printer setting page


  


 Setup and Configuration Steps:


 Ensure that ""Allow Blank User name and Password"" is  not checked ask SQA personnel if need help"
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1565,Test Login in Printer Settings page with a invalid password,This test is to test Security of Printer setting page
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1566,Test adding a Network Barcode printer," 


  


 Setup and Configuration:


 1. Cab EOS1/300 Barcode Printer is connected to Corporate Network

2. You can print the EOS1/300 Barcode printer from GrowthDirect System server"
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1567,Test editing existing Printer Name field,"This test case is to test update of Printer name field 


  


  


 Setup and Configuration steps:


 1. Cab EOS1/300 Barcode Printer is connected to Corporate Network

2. You can print the EOS1/300 Barcode printer from GrowthDirect System server


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1568,Test Audit Report for printer setting login,"This test is to test Security of Printer setting page


  


  


 Setup and Configuration steps:


  Ensure that ""Allow Blank User name and Password"" is not checked ask SQA personnel if need help"
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1569,Test printing Sample labels to Network Barcode printer,"This test case is to test printing


  


  


  


 Setup and Configuration Steps:


 1. Create method name it M1, Action/Aler name it as A1, Handling Rule name it as H1, SampleID name it as S1

2. Create a WorkList with M1, A1, and H1. then name it as ""Worklist Test"""
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1570,Test printing LIMS labels to Network Barcode printer,"This test case is to test printing 


  


  


  Setup and Configuration steps: 


 1. Create method name it M1, Action/Aler name it as A1t, Handling Rule name it as H1, SampleID name it as S1

2. Create a WorkList with M1, A1, and H1. then name it as ""Worklist Test""


 3. On Bridge, Launch LIMS simulator


 4. Create 20 LIMS order and let system consumes request file"
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1571,Test adding USB Barcode printer,"This test case is to test adding USB Cab EOS1/300 Printer driver


  


  


 Setup and Configuration Steps:


 On Bridge computer


 1. Install USB Cab EOS1/300 Printer driver


 2. Connect USB USB Cab EOS1/300 Printer driver to bridge with USB cable (do not connect Network cable) 


 3. Verify that USB Cab EOS1/300 Printer driver is working"
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1572,Test printing 20 Sample labels to USB Barcode printer ,"This test case is to test adding USB Cab EOS1/300 Printer driver


  


 Setup and Configuration Steps:


 On Bridge:


 On Bridge computer


 1. Install USB Cab EOS1/300 Printer driver


 2. Connect USB USB Cab EOS1/300 Printer driver to bridge with USB cable (do not connect Network cable) 


 3. Verify that USB Cab EOS1/300 Printer driver is working


  


 On GrowthDirect System


 1. Create method name it M1, Action/Aler name it as A1t, Handling Rule name it as H1, SampleID name it as S1

2. Create a WorkList with M1, A1, and H1. then name it as ""Worklist Test""


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1573,Test printing 20 LIMS labels to USB Barcode printer,"This test case is to test printing to USB Barcode printer


  


  


 Setup and configuration steps:


 On Bridge:


 On Bridge computer


 1. Install USB Cab EOS1/300 Printer driver


 2. Connect USB USB Cab EOS1/300 Printer driver to bridge with USB cable (do not connect Network cable) 


 3. Verify that USB Cab EOS1/300 Printer driver is working


  


 On GrowthDirect System


 1. Create method name it M1, Action/Aler name it as A1t, Handling Rule name it as H1, SampleID name it as S1

2. Create a WorkList with M1, A1, and H1. then name it as ""Worklist Test"""
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1574,Test adding multiple Network EOS1/300 Network printers,"This test case is to test adding multiple printers


  


  


 Setup and Configuration steps:


 On Bridge


 1. Identify and locate three  EOS1/300 Network printers; Printer 1: 10.0.0.85, Printer 2: 10.0.0.90, Printer 3: 10.0.0.219, Printer 4: 10.0.0.221


 2. All above Cab EOS1/300 Barcode Printers are connected to Corporate Network

3. You can ping all EOS1/300 Barcode printer from GrowthDirect System server


  


 The following screenshot is for reference"
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1576,Test printing 20 Sample labels to Multiple Network Barcode printers,"This test case is to test printing 


  


 Setup and Configuration Steps:


 On Bridge


 1. Identify and locate three  EOS1/300 Network printers; Printer 1: 10.0.0.85, Printer 2: 10.0.0.90, Printer 3: 10.0.0.219, Printer 4: 10.0.0.221


 2. All above Cab EOS1/300 Barcode Printers are connected to Corporate Network

3. You can ping all EOS1/300 Barcode printer from GrowthDirect System server


  


  


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1577,Test printing 20 LIMS labels to Multiple Network Barcode printers,"This test case is to test multiple Network Barcode printers


  


 Setup and Configuration steps:


 On GrowthDirect System


 1. Identify a few network barcode printers 


 2. Printer Settings, add those network barcode printers 


 3. Create method name it M1, Action/Aler name it as A1t, Handling Rule name it as H1, SampleID name it as S1

 


  


 On Bridge


 1.  Make sure that at least 3 network barcode printer are available for testing


 2. LIMS simulator is available 


  


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1578,Test Barcode printer list on Bridge automatically populated on Printer drop-down list of GrowthDirect System,"This test case is to test that USB Barcode printer adding page when Bridge has been configured with USB Barcode printers 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1580,Test Printer Name field length,This test case is to test update of Printer name field 
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1581,Test Cancel button,"This test case is to test that Cancel button is click, the event is canceled. 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1583,Test printing 100 Sample labels to USB Barcode printer ,"This test case is to test adding USB Cab EOS1/300 Printer driver


  


 Setup and Configuration Steps:


 On Bridge:


 On Bridge computer


 1. Install USB Cab EOS1/300 Printer driver


 2. Connect USB USB Cab EOS1/300 Printer driver to bridge with USB cable (do not connect Network cable) 


 3. Verify that USB Cab EOS1/300 Printer driver is working


  


 On GrowthDirect System


 1. Create method name it M1, Action/Aler name it as A1t, Handling Rule name it as H1, SampleID name it as S1

2. Create a WorkList with M1, A1, and H1. then name it as ""Worklist Test""


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1584,Test printing 200 LIMS labels to USB Barcode printer,"This test case is to test printing to USB Barcode printer


  


  


 Setup and configuration steps:


 On Bridge:


 On Bridge computer


 1. Install USB Cab EOS1/300 Printer driver


 2. Connect USB USB Cab EOS1/300 Printer driver to bridge with USB cable (do not connect Network cable) 


 3. Verify that USB Cab EOS1/300 Printer driver is working


  


 On GrowthDirect System


 1. Create method name it M1, Action/Aler name it as A1t, Handling Rule name it as H1, SampleID name it as S1

2. Create a WorkList with M1, A1, and H1. then name it as ""Worklist Test"""
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1587,Test printing 200 Sample labels to Multiple Network Barcode printers,"This test case is to test printing 


  


 Setup and Configuration Steps:


 On Bridge


 1. Identify and locate three  EOS1/300 Network printers; Printer 1: 10.0.0.85, Printer 2: 10.0.0.90, Printer 3: 10.0.0.219, Printer 4: 10.0.0.221


 2. All above Cab EOS1/300 Barcode Printers are connected to Corporate Network

3. You can ping all EOS1/300 Barcode printer from GrowthDirect System server


  


  


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1588,Test printing 200 LIMS labels to Multiple Network Barcode printers,"This test case is to test multiple Network Barcode printers


  


 Setup and Configuration steps:


 On GrowthDirect System


 1. Identify a few network barcode printers 


 2. Printer Settings, add those network barcode printers 


 3. Create method name it M1, Action/Aler name it as A1t, Handling Rule name it as H1, SampleID name it as S1

 


  


 On Bridge


 1.  Make sure that at least 3 network barcode printer are available for testing


 2. LIMS simulator is available 


  


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1589,Test adding a document printer,"This test case is to test adding a document printer


  


 Setup and Configuration steps: 


 On Bridge:


 1. Go to Control Panel, click Devices and Printers, click ""Add a printer"" , Select Network Wireless or Bluetooth Printers, click Next button


 2. Select  ""HP Color LaserJet CP5220 Series PCL6 on 10.0.0.10"", click next button and finish it up


 3. Ensure that ""HP Color LaserJet CP5220 Series PCL6 on 10.0.0.10"" is available in Devices and Printers


  


  


  


  


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1590,Test printing Test report to a document printer,"This test case is to test adding a document printer


  


 Setup and Configuration steps: if printer is alreadyy configured, skip this Setup steps


 On Bridge:


 1. Go to Control Panel, click Devices and Printers, click ""Add a printer"" , Select Network Wireless or Bluetooth Printers, click Next button


 2. Select  ""HP Color LaserJet CP5220 Series PCL6 on 10.0.0.10"", click next button and finish it up


 3. Ensure that ""HP Color LaserJet CP5220 Series PCL6 on 10.0.0.10"" is available in Devices and Printers


  


  


 GrowthDirect:


 Select Printer drop-down dialog box


  


  


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1591,Test printing Audit Report to a document printer,"This test case is to test adding a document printer


  


 Setup and Configuration steps: if printer is alreadyy configured, skip this Setup steps


 On Bridge:


 1. Go to Control Panel, click Devices and Printers, click ""Add a printer"" , Select Network Wireless or Bluetooth Printers, click Next button


 2. Select  ""HP Color LaserJet CP5220 Series PCL6 on 10.0.0.10"", click next button and finish it up


 3. Ensure that ""HP Color LaserJet CP5220 Series PCL6 on 10.0.0.10"" is available in Devices and Printers


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1592,Test printing Custom Report to a document printer,"This test case is to test adding a document printer


  


 Setup and Configuration steps: if printer is already configured, skip this Setup steps


 On Bridge:


 1. Go to Control Panel, click Devices and Printers, click ""Add a printer"" , Select Network Wireless or Bluetooth Printers, click Next button


 2. Select  ""HP Color LaserJet CP5220 Series PCL6 on 10.0.0.10"", click next button and finish it up


 3. Ensure that ""HP Color LaserJet CP5220 Series PCL6 on 10.0.0.10"" is available in Devices and Printers


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1593,Test Printer-off line BUI display when USB Barcode printer connection is lost,"This test case is to Printer-offline display when USB barcode printer connection is lost


  


  


 Setup and configuration steps: skip these steps if it is already done. 


 On Bridge:


 On Bridge computer


 1. Install USB Cab EOS1/300 Printer driver


 2. Connect USB USB Cab EOS1/300 Printer driver to bridge with USB cable (do not connect Network cable) 


 3. Verify that USB Cab EOS1/300 Printer driver is working


  


 On GrowthDirect System


 1. Create method name it M1, Action/Aler name it as A1t, Handling Rule name it as H1, SampleID name it as S1

2. Create a WorkList with M1, A1, and H1. then name it as ""Worklist Test""


 3. Launch LIMS simulator "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1594,Test printer can print again right after USB connection is reestablished,"This test case is to the printer can print again right after USB connection is reestablished


  


  


 Setup and configuration steps: skip these steps if it is already done. 


 On Bridge:


 On Bridge computer


 1. Install USB Cab EOS1/300 Printer driver


 2. Connect USB USB Cab EOS1/300 Printer driver to bridge with USB cable (do not connect Network cable) 


 3. Verify that USB Cab EOS1/300 Printer driver is working


  


 On GrowthDirect System


 1. Create method name it M1, Action/Aler name it as A1t, Handling Rule name it as H1, SampleID name it as S1

2. Create a WorkList with M1, A1, and H1. then name it as ""Worklist Test""


 3. Launch LIMS simulator "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1595,Test Printer offline BUI display when Network Barcode printer connection is lost,"This test case is to Printer-offline display when USB barcode printer connection is lost


  


  


 Setup and configuration steps: skip these steps if it is already done. 


 On Bridge:


 On Bridge computer


 1. Install USB Cab EOS1/300 Printer driver


 2. Connect USB USB Cab EOS1/300 Printer driver to bridge with USB cable (do not connect Network cable) 


 3. Verify that USB Cab EOS1/300 Printer driver is working


  


 On GrowthDirect System


 1. Create method name it M1, Action/Aler name it as A1t, Handling Rule name it as H1, SampleID name it as S1

2. Create a WorkList with M1, A1, and H1. then name it as ""Worklist Test""


 3. Launch LIMS simulator "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1600,Test Multiple GrowthDirect system  can print to the same Network Barcode printer,"This test case is to test multiple GrowthDirect system can print to the same Network Barcode printers


  


 Setup and Configuration steps:


  On GrowthDirect System 1 


 1. Identify a few network barcode printers 


 2. Printer Settings, add those network barcode printers 


 3. Create method name it M1, Action/Aler name it as A1t, Handling Rule name it as H1, SampleID name it as S1


  


  On Bridge 1 


 1. LIMS simulator is available 


  


  On GrowthDirect System 2 


 1. Identify a few network barcode printers 


 2. Printer Settings, add those network barcode printers 


 3. Create method name it M2, Action/Aler name it as A2, Handling Rule name it as H2, SampleID name it as S2


  


  On Bridge2 


 1. LIMS simulator is available 


  


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1691,SRD1018 Bridge computer setting in General Settings,"Test case to cover the bridge setting in the General Setting Tab


  


 General Settings Tab:


  


 

 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1692,SRD1018 Refresh of Shared Printers from Bridge Computer,"Test case to cover the bridge setting in the General Setting Tab


  


 General Settings Tab:


  


  


  


 Printer Setting Page


  


 

 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1693,SRD1018 Network Barcode printer default port," 


  


 Setup and Configuration:


 1. Cab EOS1/300 Barcode Printer is connected to Corporate Network

2. You can print the EOS1/300 Barcode printer from GrowthDirect System server"
Technical Requirement,GDP-GDSTR-24,Use Customer's SMTP server,System shall have ability to configure  Bridge Computer to use Customer's SMTP server (instead of  Bridge Computer SMTP server),Verification,GDP-Verfication-1634,SRD 6001 Use customers SMTP server,"Testing requires an instrument or simulator configured with a bridge computer.  


  


   Bridge computer SMTP setup is required as per     RDT0047 SMTP Server Installation Instructions Rev A  


  


   Growth Direct configuration  


  


      


  


  


  


  "
Technical Requirement,GDP-GDSTR-24,Use Customer's SMTP server,System shall have ability to configure  Bridge Computer to use Customer's SMTP server (instead of  Bridge Computer SMTP server),Verification,GDP-Verfication-1635,SRD 6001 Overview,Ability to configure Bridge Computer to use Customer's SMTP server
Technical Requirement,GDP-GDSTR-25,Improved loading and unloading cassettes,System shall have improved loading/unloading cassettes to allow seamless loadings after emptying a full trash bin. This handles situations where customers has comes in the morning (or after weekend) to facilitate loading new cassettes while system is moving cassettes to trash.,,,,
Technical Requirement,GDP-GDSTR-26,"Remove ""false positive detected"" from event","System shall remove ""false positive detected"" alarm from cassette event when count demoted.",,,,
Technical Requirement,GDP-GDSTR-27,Reduce diagnostic email log file size,System shall have options to reduce diagnostic email log file size. This option can either be send a day's worth or only selected log files.,,,,
Technical Requirement,GDP-GDSTR-28,Optimize SIO operations,System shall optimize SIO operations. This could be reducing frequency or optimize individual SIO operations.,,,,
Technical Requirement,GDP-GDSTR-29,Notify when loading to full incubator,"On attempting to load to full incubator, system shall notify user via system warning and email.",,,,
Technical Requirement,GDP-GDSTR-30,Prevent high to low temp serial incubation,System shall no longer support option allowing Serial Incubation where cassette to allowed to move from high to low temperature. (In UI prevent ability to create method),,,,
Technical Requirement,GDP-GDSTR-31,Verify cassette held by IOQ Picker,"In order to avoid false cassettes at IOQ, the system shall verify a cassette is held by IOQ Picker by checking for ""gripper close"" or a valid barcode (currently System assumes cassette is held when Part-Presence sensor is triggered).",,,,
Technical Requirement,GDP-GDSTR-32,"Email on ""Contact Service"" alarm","System shall send email on ""Contact Service"" Alarm.",,,,
Technical Requirement,GDP-GDSTR-33,"Default ""Worklist Audit"" report name","When saving ""Worklist Audit"" report as PDF, the default name shall be ""WorklistAuditReport"".",,,,
Technical Requirement,GDP-GDSTR-34,Warn when no data available for audit report ,"System shall display warning dialog box ""No data is available for this audit report"" when attempting to generate report with empty data table.",,,,
Technical Requirement,GDP-GDSTR-35,Include horizontal scroll on LIMS tab,System shall have horizontal scroll on LIMS tab allowing complete message to be viewed.,,,,
Technical Requirement,GDP-GDSTR-36,Upper case letters in Serial Numbers,"When user is manually ordering tests, only serial numbers with upper case letters shall be accepted. Note: As a convenience after entering serial number, all lower case letters entered are converted to upper.",,,,
Technical Requirement,GDP-GDSTR-37,Improved error messaging when entering names,"When entering names (Methods, Action/Alert, Handling Rules, Worklist) system shall provide improved error message. Note: On implementation is was found the issue was embedded spaces character so removing those character solved issue instead of change message.",,,,
Technical Requirement,GDP-GDSTR-38,"Import ""Sample ID"" from valid CVS file","System shall only import ""Sample ID"" from CVS file that are valid.",,,,
Technical Requirement,GDP-GDSTR-39,"Indicate ""User Names"" are case sensitive","System shall provide text to indicate that ""User Names"" are case sensitive",,,,
Technical Requirement,GDP-GDSTR-40,"Prevent import of duplicate ""Sample IDs""","System shall not allow duplicate ""Sample IDs"" to be imported (via CSV file) into an existing Worklist.",,,,
Technical Requirement,GDP-GDSTR-41,Include vertical scroll bar for comments,System shall have vertical scroll bar within the Approval Page for the Comments field.,,,,
Technical Requirement,GDP-GDSTR-42,Prevent alarm for new incubator temperature,"System shall system not display ""Out of bounds"" alarm when entering new incubator temperature settings",,,,
