TraceView Name:,Verifications,,,,,,
,,,,,,,
1 Level Upstream,,,,Source,,,
Item Type,ID,Name,Description,Item Type,ID,Name,Description
,,,,Verification,GDP-Verfication-1516,Overview,"Test Case, Written By:  Chris Winsor  Date: 1/22/2018          Reviewed By:                 Date: 

PRD SRD 1005 TFS 2998 FR: User is not notified on UI when system rejects duplicate (serial number) cassettes

Expectations:
No such message ""A duplicate cassette..."" is received by user with Cassette Alarms notifications disabled

Note: this case is closely related to SRD1006 TFS3707.  The test case for SRC1006 captures all the requirements for this SRD1005."
,,,,Verification,GDP-Verfication-918,"Test Cases 1a,b,c, 2a,b,c",
,,,,Folder,GDP-FLD-78,SRD1028,
,,,,Verification,GDP-Verfication-1517,Overview,"Test Case, Written By:  Chris Winsor  Date: 1/22/2018          Reviewed By:                 Date: 

PRD SRD 1028 TFS 2352 FR: Worklist audit reports - File name when saving is populated as ""ProductsAuditReport"""
,,,,Verification,GDP-Verfication-920,"File name when saving is ""ProductsAuditReport""",
,,,,Folder,GDP-FLD-79,SRD1001,
,,,,Verification,GDP-Verfication-1518,Overview,"Test Case, Written By:  Chris Winsor  Date: 1/22/2018          Reviewed By:                 Date: 

PRD SRD 1001 TFS 3538 Logs file are not getting Purged  after  configured Purge days time"
,,,,Verification,GDP-Verfication-922,Configuration 1,
,,,,Verification,GDP-Verfication-923,Configuration 2,
,,,,Verification,GDP-Verfication-924,Test log file get purged  after  configured Purge Days time,
,,,,Folder,GDP-FLD-82,SRD1060,
,,,,Verification,GDP-Verfication-1519,Overview,"Test Case, Written By:  Chris Winsor  Date: 1/22/2018          Reviewed By:                 Date: 

PRD SRD 1060 TFS 3610 FR - Characters should be limited for use in Name Field for Method, Action Alert and Handling Rules.  Right now we allow the following `~!@#$%^&*()_+-={}|[]\:"";' ?,./

According to GrowthDirect2 User Guide (Chapter 3)
  Names can contain alphanumeric characters, spaces,+ character and special characters of + # - _ ( ) ' . and \ . 

This applies to:
Methods
Action/Alert
Handling Rule
Sample
Worklist"
,,,,Verification,GDP-Verfication-943,"Confirm system does not reject acceptable characters where position is [first, middle, last]for Method Name",
,,,,Verification,GDP-Verfication-944,"Confirm reject of unacceptable characters where position is [first, middle, last]for Method Name",
,,,,Verification,GDP-Verfication-945,Repeat above for Action/Alert names,
,,,,Verification,GDP-Verfication-946,Repeat above for Handling Rule names,
,,,,Verification,GDP-Verfication-947,Repeat above for Sample names,
,,,,Verification,GDP-Verfication-948,Repeat above for Worklist names,
,,,,Folder,GDP-FLD-83,SRD1026,
,,,,Verification,GDP-Verfication-1520,Overview,"Test Case, Written By:  Chris Winsor  Date: 1/22/2018          Reviewed By:                 Date: 

PRD SRD 1026 TFS 3695 FR - Safety concern:  Unintended IOQ movement after tripping IOQ Part Present sensor.

The intent is to reduce risk to GD manufacturing and Field Service personnel when the IOQ door is open."
,,,,Verification,GDP-Verfication-950,Cover the IOQ Part Present Sensor and confirm no motion of the IOQ components.,
,,,,Folder,GDP-FLD-85,SRD1076 Change server Date while imaging,
,,,,Verification,GDP-Verfication-1521,SRD1076 - Overview,"+===================


 SRD 1076


 Shall fix defect that stop ability to load cassettes when date is manually changed to be prior to current date


 +===================


 TFS 3702:


 Changing date can result in no loading and warning message not clea"
,,,,Verification,GDP-Verfication-964,SRD1076 - Cfg DB Backup,
,,,,Verification,GDP-Verfication-1644,SRD1076 - Test,
,,,,Verification,GDP-Verfication-974,SRD1076 - Configuration (restore),
,,,,Folder,GDP-FLD-86,SRD1068 SRD1053 SRD1052 Prevent invalid incubator temperature reading from being reported,
,,,,Verification,GDP-Verfication-1500,Overview," 


 The test case captures


 
	 SRD 1068 - Shall prevent erroneous incubator reading by ignoring any readings below 1 degree C 
	 SRD 1053 - To help diagnose incubator issues, all invalid readings shall be logged 
	 SRD 1052 - To prevent false temperature excursion, System shall treat any reading under 1 deg. invalid 
	 TFS 3694 (Prevent invalid incubator temperature (out of range) from being reported.  Log error but don't allow it to be recorded or displayed.) 
	 TFS 3758 (from Biogen - a reported temperature of ""0"" (out of specification).  Business Logic modified (no details).  This was GD 2.3.0.269.) 
 

 

4 tests:  running in simulation environment with GDSimulator to create invalid temperatures (low, high) for Incubators (top,bottom).  Confirm logs and UI alarms.  


  


 2 test:  running in real environment - unplug top/bottom incubators.


 

 "
,,,,Verification,GDP-Verfication-976,Configuration,
,,,,Verification,GDP-Verfication-977,Simulator - Invalid Temperature <Low/High> on Incubator <Bottom/Top>,
,,,,Verification,GDP-Verfication-978,Instrument - Top Incubator offline (network cable unplugged or powered off),
,,,,Folder,GDP-FLD-90,SRD1000,
,,,,Verification,GDP-Verfication-1522,Overview,"Test Case, Written By:  Hoang Thai  Date: 10/17/2017          Reviewed By:    Bruce Brennan             Date: 0/17/2017

PRD SRD1000 TFS_3656 Corrected issues relating to flags not being cleared on printer errors

Pre-requisites: 
EOS1 /300 is connected over network 
Note: Please copy all Test Data to \\10.0.0.48\sqa\2.3.2_SW_Project\VVR\PRD\SRD_1000_TFS_3656 Automatically clearing Print Warning was not be called"
,,,,Verification,GDP-Verfication-1000,Network Connection Test: BUI Printer warining message stays displayed for longer 2 seconds,
,,,,Verification,GDP-Verfication-1001,Network Connection Test: BUI Printer warining message disappears after the corporate network cable is reconnected,
,,,,Verification,GDP-Verfication-1342,USB Connection Test: BUI Printer warining message stays displayed for longer 2 seconds ,
,,,,Verification,GDP-Verfication-1003,USB Connection Test: BUI Printer warining message disappears after the USB cable is reconnected,
,,,,Folder,GDP-FLD-93,"SRD1004,1070 Reports need to be run against an Archive Database",
,,,,Verification,GDP-Verfication-1523,Overview,"PRD SRD1004 TFS 3585: FR: Reports need to be run against an Archive Database





Pre-requisites:

For Archive database testing section

1. Use unit 33's database \\\10.0.0.48\sqa\2018_SW_Projects\2.3.3_GD_System\VVR\PRD\SRD_1004_TFS_3585 FR Reports need be run against an Archive Database\Test Data\Databases for testing

1. Use simulator and Unit 33's database

2. Delete current GrowthDirect and Archive Database

3. unplug network cable from your simulator machine so system will not send out notification email for this simulator

4. Restore Unit33's database

5. Launch GrowthDirect, open user role, modify operator (add more role for example) and save it

6. Go to IT, select 365, click Archive button wait for the archive process to complete

7. Launch SQL, you will see that an inactive record of userrole (operator)

Note: qualified userrole (or inactive) means inactive (table has o for this specific) user role which has been updated and become old record ( show 0 in Database not 1)





Note:

Please the following website for covert unit https://www.convertunits.com/dates/daysfromnow

For example: enter -366 to get Tuesday, November 29, 2016

Please see screenshot and copy all test data into in \\10.0.0.48\sqa\2018_SW_Projects\2.3.3_GD_System\VVR\PRD\SRD_1004_TFS_3585 FR Reports need be run against an Archive Database\Screenshots

Ensure to save logs with TFS number into above folder when entering a defect to TFS

Reminder:

1. All inactive records that older 365 will be moved to archive DB and get deleted from main DB

2. All active records that older 365 will be copied (not moved) to archive DB and will be remained in main DB"
,,,,Verification,GDP-Verfication-1174,Setup:,
,,,,Verification,GDP-Verfication-1175,UI Test: UIs in  IT Settings page,
,,,,Verification,GDP-Verfication-1176,Technician Page,
,,,,Verification,GDP-Verfication-1177,Database Backup,
,,,,Verification,GDP-Verfication-1179,Upgrade from existing DB ,
,,,,Verification,GDP-Verfication-1180,Test Report  against Archive DB - with using Unit 33's database,
,,,,Verification,GDP-Verfication-1181,Audit Report against Archive DB with using Unit 33's database,
,,,,Verification,GDP-Verfication-1182,Lot/Batch Results Report against Archive DB with using Unit 33's database,
,,,,Verification,GDP-Verfication-1184,Custom Report against Archive DB - with using Unit 33's database,
